,zpid,price,city,latitude,longitude,bathrooms,bedrooms,living_area,lot_area,lot_area_unit,days_on_zillow,lot_sqft
1615,16763559.0,4875000.0,Del Mar,32.952084,-117.2512,5.0,4.0,3851.0,8712.0,sqft,7.789768518518518,8712.0
1616,52519939.0,550000.0,San Diego,32.710365,-117.13745,2.0,1.0,736.0,0.04,sqft,92.4971875,0.04
1617,17173865.0,799000.0,San Diego,32.562107,-117.080025,3.0,4.0,1892.0,5136.0,sqft,6.4971875,5136.0
1618,16799342.0,1300000.0,San Diego,32.973988,-117.07686,4.0,4.0,2406.0,5605.0,sqft,118.67015046296297,5605.0
1620,16844138.0,1595000.0,San Diego,32.858902,-117.19081,3.0,3.0,1564.0,7405.2,sqft,61.71791666666667,7405.2
1621,17192657.0,989000.0,San Diego,32.835884,-117.20627,2.0,3.0,1032.0,6000.0,sqft,7.4971875,6000.0
1622,17122289.0,1140000.0,San Diego,32.701824,-117.03918,3.0,4.0,1804.0,6721.0,sqft,155.4971875,6721.0
1623,16807138.0,1595000.0,San Diego,32.964962,-117.12044,3.0,4.0,2824.0,10018.8,sqft,6.6919560185185185,10018.8
1624,17083909.0,799999.0,San Diego,32.714012,-117.04966,2.0,4.0,1900.0,10880.0,sqft,34.4971875,10880.0
1625,61240108.0,1894000.0,San Diego,32.732212,-117.21905,3.0,3.0,1931.0,2544.0,sqft,89.4971875,2544.0
1627,52510684.0,1250000.0,San Diego,33.00879,-117.07204,2.0,3.0,1586.0,4107.0,sqft,28.4971875,4107.0
1628,16975594.0,1375000.0,San Diego,32.73494,-117.13025,3.0,3.0,1440.0,7405.2,sqft,50.4971875,7405.2
1629,17198536.0,1199000.0,San Diego,32.793198,-117.02828,3.0,4.0,2156.0,6534.0,sqft,3.9128587962962964,6534.0
1630,16785297.0,1630000.0,San Diego,32.929054,-117.15766,3.0,4.0,2104.0,7405.2,sqft,54.38553240740741,7405.2
1634,16774250.0,1299900.0,San Diego,32.959167,-117.14541,2.0,3.0,1591.0,6098.4,sqft,7.6938657407407405,6098.4
1635,16779543.0,4499888.0,San Diego,32.940777,-117.20132,6.0,5.0,4941.0,0.36,acres,25.67997685185185,15681.599999999999
1636,17068751.0,735000.0,San Diego,32.708298,-117.13832,2.0,2.0,900.0,1742.4,sqft,11.780324074074073,1742.4
1639,16988748.0,1059000.0,San Diego,32.78235,-117.058,2.0,3.0,1300.0,7000.0,sqft,40.71857638888889,7000.0
1642,16800304.0,1349000.0,San Diego,32.970383,-117.06956,2.0,3.0,1671.0,4791.6,sqft,0.8128240740740741,4791.6
1643,16964195.0,2900000.0,San Diego,32.736862,-117.23606,4.0,3.0,3894.0,8797.0,sqft,7.781400462962963,8797.0
1645,16912975.0,3695000.0,San Diego,32.81652,-117.23131,4.0,4.0,3613.0,10000.0,sqft,29.718020833333334,10000.0
1646,99519025.0,799990.0,San Diego,32.71663,-117.10721,2.0,3.0,1177.0,5601.816,sqft,47.78376157407408,5601.816
1647,16732101.0,3500000.0,San Diego,33.019913,-117.166176,6.0,5.0,6648.0,3.35,acres,0.6873263888888889,145926.0
1650,54657307.0,2449000.0,San Diego,33.00753,-117.11771,4.0,5.0,4138.0,6098.4,sqft,7.4971875,6098.4
1651,110542516.0,3495000.0,San Diego,32.925175,-117.008286,6.0,5.0,5164.0,0.51,acres,61.13550925925926,22215.600000000002
1652,16852256.0,15420000.0,La Jolla,32.841324,-117.25454,9.0,7.0,8694.0,0.8112488521579431,acres,335.4971875,35338.0
1657,16935373.0,2850000.0,San Diego,32.779133,-117.19981,4.0,4.0,3008.0,5900.0,sqft,13.751087962962963,5900.0
1661,17064591.0,3250000.0,San Diego,32.71967,-117.253204,3.0,5.0,2433.0,8712.0,sqft,84.4971875,8712.0
1662,16989996.0,2179000.0,San Diego,32.78066,-117.05227,3.0,4.0,2762.0,0.5899908172635445,acres,7.517604166666667,25700.0
1663,17200543.0,1049000.0,San Diego,32.79063,-117.153915,2.0,3.0,1084.0,7800.0,sqft,42.50649305555555,7800.0
1664,452142209.0,16900000.0,San Diego,32.71384,-117.24202,9.0,7.0,7195.0,1.69,acres,394.4971875,73616.4
1665,16989727.0,1195000.0,San Diego,32.779823,-117.061455,3.0,3.0,1846.0,0.16,sqft,8.4971875,0.16
1667,16770775.0,2050000.0,San Diego,32.9522,-117.22339,3.0,4.0,2075.0,4215.0,sqft,7.503472222222222,4215.0
1670,16744433.0,1298500.0,San Diego,33.02198,-117.05944,3.0,4.0,2061.0,7900.0,sqft,26.4971875,7900.0
