,price,bed,bath,lot_sqft,lot_living,lat,long,income,poverty,unemployment,bachelor,rent,area_home_value,owner_occ,pop_density,risk_fire,risk_earthquake,risk_heat,dist_city,dist_airport,dist_coast
3835,3700000.0,5.0,5.0,129943.836,3711.0,34.09223,-118.88915,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,59.616410252414354,47.36042333199361,37.54221537179936
3836,12495000.0,4.0,4.0,174457.8,3466.0,34.028175,-118.77095,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,48.654822314993424,34.77727340631289,25.79951768090165
3837,11450000.0,4.0,5.0,14853.959999999995,4181.0,34.038113,-118.87138,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,57.85295851158775,44.004285298109984,35.096024290807755
3839,2625000.0,3.0,4.0,5397.084,2109.0,34.044975,-118.74005,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,45.7367978755709,32.656218961864866,23.105793340469152
3840,8750000.0,6.0,8.0,82633.32,8425.0,34.031487,-118.801636,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,51.45942801378508,37.5997138422349,28.639941957805487
3841,5100000.0,1.0,1.0,1306800.0,1400.0,34.08759,-118.944336,209750.0,0.0708549834671705,0.0405244338498212,0.6539624924379915,2380.0,2000001.0,0.8299155609167672,14.782009145545969,99.34596220850725,90.73882487246264,9.254492587825922,64.65460605687534,51.98690862086169,42.42693643896399
3842,2399000.0,3.0,3.0,6682.104,2320.0,34.06065,-118.7423,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,45.94240066287946,33.49755279431231,23.58481465693541
3844,3500000.0,7.0,6.0,13155.12,3486.0,34.03744,-118.63655,182159.0,0.2076771653543307,0.015625,0.7084161696487741,3501.0,2000001.0,0.6283566058002148,94.895203091481,99.47320228794312,97.86902595935452,9.845559845559846,36.23288649887806,23.571924338121377,13.542311325640435
3845,7500000.0,6.0,8.0,26336.376,5759.0,34.02506,-118.79995,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,51.34322228843311,37.26683621566872,28.46132507317237
3848,5995000.0,7.0,7.0,40118.76,4171.0,34.025097,-118.81998,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,53.18551348629697,39.05915565503242,30.30697048367396
3849,3495000.0,5.0,5.0,152024.40000000002,4828.0,34.08992,-118.97937,209750.0,0.0708549834671705,0.0405244338498212,0.6539624924379915,2380.0,2000001.0,0.8299155609167672,14.782009145545969,99.34596220850725,90.73882487246264,9.254492587825922,67.89041657279057,55.13996329687127,45.64944220390441
3850,6999000.0,4.0,5.0,85813.2,5150.0,34.026455,-118.81757,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,52.955007916638415,38.87942895666621,30.08817262083362
3853,4175000.0,6.0,6.0,23892.66,3685.0,34.01846,-118.8112,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,52.42750221538018,38.10241660931215,29.49278961622337
3854,6700000.0,4.0,3.0,49349.124,2282.0,34.007523,-118.80158,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,51.64942916093719,36.98064976649126,28.638768654717705
3855,5250000.0,5.0,6.0,43969.464,5120.0,34.04007,-118.77055,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,48.55990232191802,35.12910931127308,25.84422449778254
